CryoSleep,HomePlanet_Earth,HomePlanet_Europa,Cabin_deck_B,Cabin_deck_C,Cabin_side_P,RoomService,Spa,VRDeck,spending_Categ_Low,spending_Categ_Medium,spending_Categ_High,Transported
False,False,True,True,False,True,0.0,0.0,0.0,True,False,False,False
False,True,False,False,False,False,109.0,549.0,44.0,False,True,False,True
False,False,True,False,False,False,43.0,6715.0,49.0,False,False,True,False
False,False,True,False,False,False,0.0,3329.0,193.0,False,False,True,False
False,True,False,False,False,False,303.0,565.0,2.0,False,True,False,True
False,True,False,False,False,True,0.0,291.0,0.0,False,True,False,True
False,True,False,False,False,False,42.0,0.0,0.0,False,True,False,True
True,True,False,False,False,False,0.0,0.0,0.0,True,False,False,True
False,True,False,False,False,False,0.0,216.0,0.0,False,True,False,True
True,False,True,True,False,True,0.0,0.0,0.0,True,False,False,True
True,False,True,True,False,True,0.0,0.0,0.0,True,False,False,True
False,False,True,True,False,True,39.0,110.0,124.0,False,False,True,True
False,False,False,False,False,True,73.0,0.0,113.0,False,True,False,True
False,True,False,False,False,False,719.0,0.0,24.0,False,True,False,False
False,True,False,False,False,True,8.0,2.0,7.0,False,True,False,True
False,True,False,False,False,False,32.0,0.0,0.0,False,True,False,False
False,False,False,False,False,True,1286.0,0.0,0.0,False,True,False,False
False,True,False,False,False,True,0.0,0.0,637.0,False,True,False,False
True,False,False,False,False,True,0.0,0.0,0.0,True,False,False,True
False,True,False,False,False,True,0.0,0.0,0.0,True,False,False,True
False,True,False,False,False,True,412.0,0.0,679.0,False,True,False,False
True,True,False,False,False,False,0.0,0.0,0.0,True,False,False,False
True,True,False,False,False,False,0.0,0.0,0.0,True,False,False,False
True,True,False,False,False,False,0.0,0.0,0.0,True,False,False,False
False,True,False,False,False,False,0.0,0.0,0.0,True,False,False,True
True,True,False,False,False,False,0.0,0.0,0.0,True,False,False,False
False,True,False,False,False,False,0.0,0.0,0.0,True,False,False,False
False,False,False,False,False,True,980.0,0.0,0.0,False,True,False,False
True,False,True,False,True,False,0.0,0.0,0.0,True,False,False,True
False,True,False,False,False,False,0.0,998.0,0.0,False,True,False,False
False,False,True,False,True,True,22.0,1438.0,328.0,False,False,True,False
False,False,False,False,False,True,1125.0,48.0,0.0,False,True,False,False
False,True,False,False,False,False,0.0,437.0,453.0,False,True,False,False
False,False,False,False,False,True,214.0,0.0,1229.0,False,False,True,True
False,False,False,False,False,True,0.0,0.0,0.0,True,False,False,True
False,False,False,False,False,True,0.0,990.0,0.0,False,True,False,True
True,False,True,False,False,False,0.0,0.0,0.0,True,False,False,True
False,False,False,False,False,True,784.0,951.0,0.0,False,True,False,False
False,True,False,False,False,False,0.0,20.0,401.0,False,True,False,False
False,True,False,False,False,False,554.0,2606.0,0.0,False,False,True,False
True,True,False,False,False,True,0.0,0.0,0.0,True,False,False,False
True,True,False,False,False,True,0.0,0.0,0.0,True,False,False,True
False,False,True,True,False,True,0.0,2511.0,855.0,False,False,True,False
True,True,False,False,False,True,0.0,0.0,0.0,True,False,False,False
True,True,False,False,False,True,0.0,0.0,0.0,True,False,False,True
True,True,False,False,False,True,0.0,0.0,0.0,True,False,False,True
False,False,False,False,False,True,970.0,0.0,64.0,False,True,False,False
True,False,False,False,False,True,0.0,0.0,0.0,True,False,False,True
False,True,False,False,False,False,790.0,0.0,0.0,False,True,False,False
False,True,False,False,False,False,0.0,1379.0,127.0,False,True,False,False
False,True,False,False,False,False,4.0,4683.0,0.0,False,False,True,False
False,True,False,False,False,False,0.0,0.0,1.0,False,True,False,True
False,False,True,False,False,False,0.0,0.0,0.0,True,False,False,True
True,False,True,False,False,False,0.0,0.0,0.0,True,False,False,True
False,False,True,False,False,False,279.0,286.0,3.0,False,False,True,True
True,True,False,False,False,False,0.0,0.0,0.0,True,False,False,False
False,True,False,False,False,False,45.0,1377.0,1.0,False,True,False,False
False,True,False,False,False,False,0.0,17.0,25.0,False,True,False,False
True,False,False,False,False,False,0.0,0.0,0.0,True,False,False,True
True,False,False,False,False,False,0.0,0.0,0.0,True,False,False,True
False,True,False,False,False,True,1.0,0.0,460.0,False,True,False,False
True,True,False,False,False,False,0.0,0.0,0.0,True,False,False,True
False,True,False,False,False,False,1.0,0.0,0.0,False,True,False,True
False,True,False,False,False,False,1946.0,0.0,24.0,False,True,False,False
False,False,False,False,False,False,793.0,253.0,0.0,False,True,False,False
False,True,False,False,False,False,887.0,6.0,0.0,False,True,False,True
False,True,False,False,False,True,190.0,1.0,726.0,False,True,False,False
False,True,False,False,False,True,16.0,0.0,52.0,False,True,False,False
False,True,False,False,False,False,0.0,0.0,1063.0,False,True,False,False
False,False,False,False,False,True,46.0,0.0,12.0,False,True,False,False
False,False,True,False,True,False,1.0,0.0,506.0,False,False,True,True
False,False,False,False,False,False,147.0,0.0,0.0,False,True,False,True
False,False,False,False,False,True,14.0,0.0,0.0,False,True,False,True
False,False,True,False,True,False,0.0,321.0,9654.0,False,False,True,False
True,True,False,False,False,False,0.0,0.0,0.0,True,False,False,False
False,False,False,False,False,True,7406.0,0.0,0.0,False,False,True,False
True,False,False,False,False,True,0.0,0.0,0.0,True,False,False,True
False,False,False,False,False,True,0.0,0.0,0.0,True,False,False,True
False,True,False,False,False,False,688.0,0.0,17.0,False,True,False,True
True,False,True,False,True,False,0.0,0.0,0.0,True,False,False,True
False,True,False,False,False,True,211.0,638.0,513.0,False,True,False,False
True,False,False,False,False,False,0.0,0.0,0.0,True,False,False,True
True,True,False,False,False,False,0.0,0.0,0.0,True,False,False,True
True,True,False,False,False,False,0.0,0.0,0.0,True,False,False,True
False,True,False,False,False,False,1.0,188.0,0.0,False,True,False,False
False,True,False,False,False,True,0.0,1.0,34.0,False,True,False,False
True,True,False,False,False,True,0.0,0.0,0.0,True,False,False,True
True,True,False,False,False,True,0.0,0.0,0.0,True,False,False,True
False,False,True,False,False,False,0.0,3.0,637.0,False,True,False,False
False,True,False,False,False,True,0.0,32.0,0.0,False,True,False,False
False,True,False,False,False,True,0.0,0.0,87.0,False,False,True,True
False,True,False,False,False,True,311.0,37.0,0.0,False,True,False,False
True,True,False,False,False,True,0.0,0.0,0.0,True,False,False,True
True,False,False,False,False,False,0.0,0.0,0.0,True,False,False,True
False,True,False,False,False,False,0.0,830.0,91.0,False,True,False,False
False,True,False,False,False,False,0.0,0.0,17.0,True,False,False,True
True,True,False,False,False,False,0.0,0.0,0.0,True,False,False,True
True,True,False,False,False,False,0.0,0.0,0.0,True,False,False,False
False,True,False,False,False,True,0.0,2.0,131.0,False,True,False,False
False,False,False,False,False,False,1743.0,0.0,0.0,False,True,False,False
True,True,False,False,False,False,0.0,0.0,0.0,True,False,False,False
False,True,False,False,False,False,562.0,0.0,0.0,False,True,False,False
False,True,False,False,False,False,0.0,0.0,0.0,True,False,False,True
False,False,True,False,False,False,0.0,3929.0,764.0,False,False,True,False
False,False,True,True,False,True,0.0,0.0,1687.0,False,True,False,False
False,False,True,True,False,True,2209.0,1868.0,445.0,False,False,True,True
True,False,True,True,False,True,0.0,0.0,0.0,True,False,False,True
True,False,True,False,False,False,0.0,0.0,0.0,True,False,False,True
False,False,True,True,False,False,0.0,17.0,13.0,False,True,False,True
False,True,False,False,False,True,0.0,0.0,0.0,False,True,False,True
False,True,False,False,False,False,82.0,238.0,1.0,False,True,False,False
True,False,False,False,False,True,0.0,0.0,0.0,True,False,False,True
False,False,True,False,False,True,1.0,12.0,404.0,False,True,False,True
False,False,False,False,False,True,0.0,65.0,6898.0,False,False,True,False
True,False,True,False,False,True,0.0,0.0,0.0,True,False,False,True
True,False,False,False,False,True,0.0,0.0,0.0,True,False,False,True
False,True,False,False,False,False,0.0,699.0,74.0,False,True,False,False
False,True,False,False,False,True,55.0,0.0,1.0,False,True,False,False
True,False,False,False,False,False,0.0,0.0,0.0,True,False,False,True
False,False,False,False,False,False,701.0,0.0,25.0,False,True,False,False
False,False,False,False,False,False,2353.0,316.0,2.0,False,False,True,False
False,False,False,False,False,False,2103.0,0.0,0.0,False,True,False,False
True,True,False,False,False,False,0.0,0.0,0.0,True,False,False,True
True,False,False,False,False,False,0.0,0.0,0.0,True,False,False,True
False,False,False,False,False,False,2738.0,0.0,0.0,False,True,False,False
False,True,False,False,False,True,0.0,0.0,0.0,False,True,False,True
False,True,False,False,False,False,97.0,25.0,55.0,False,True,False,False
True,True,False,False,False,True,0.0,0.0,0.0,True,False,False,True
False,True,False,False,False,True,0.0,564.0,207.0,False,True,False,False
True,False,True,False,True,False,0.0,0.0,0.0,True,False,False,True
True,True,False,False,False,True,0.0,0.0,0.0,True,False,False,True
False,True,False,False,False,True,440.0,0.0,462.0,False,True,False,False
False,False,False,False,False,True,0.0,0.0,0.0,False,True,False,False
False,True,False,False,False,False,0.0,0.0,0.0,False,True,False,True
False,True,False,False,False,False,0.0,0.0,0.0,True,False,False,False
True,True,False,False,False,False,0.0,0.0,0.0,True,False,False,True
False,False,False,False,False,True,1072.0,0.0,76.0,False,True,False,False
True,True,False,False,False,False,0.0,0.0,0.0,True,False,False,True
True,True,False,False,False,True,0.0,0.0,0.0,True,False,False,False
False,True,False,False,False,True,0.0,0.0,607.0,False,True,False,False
False,True,False,False,False,True,4119.0,0.0,61.0,False,False,True,False
True,False,True,True,False,True,0.0,0.0,0.0,True,False,False,True
True,False,True,True,False,True,0.0,0.0,0.0,True,False,False,True
False,True,False,False,False,False,50.0,0.0,135.0,False,True,False,True
True,True,False,False,False,False,0.0,0.0,0.0,True,False,False,False
True,False,False,False,False,True,0.0,0.0,0.0,True,False,False,True
True,False,False,False,False,False,0.0,0.0,0.0,True,False,False,True
False,False,False,False,False,False,1365.0,22.0,137.0,False,True,False,False
True,True,False,False,False,True,0.0,0.0,0.0,True,False,False,False
False,True,False,False,False,False,0.0,221.0,567.0,False,True,False,False
True,True,False,False,False,False,0.0,0.0,0.0,True,False,False,True
True,True,False,False,False,True,0.0,0.0,0.0,True,False,False,True
False,True,False,False,False,False,0.0,5.0,0.0,False,True,False,True
False,True,False,False,False,True,287.0,115.0,175.0,False,True,False,False
False,False,True,True,False,False,0.0,14970.0,2111.0,False,False,True,False
False,False,False,False,False,False,3414.0,28.0,119.0,False,False,True,False
False,True,False,False,False,True,1.0,2.0,11.0,False,True,False,True
False,True,False,False,False,True,0.0,0.0,0.0,True,False,False,False
False,True,False,False,False,True,0.0,0.0,0.0,True,False,False,True
False,True,False,False,False,True,0.0,299.0,92.0,False,True,False,False
True,False,True,False,True,True,0.0,0.0,0.0,True,False,False,True
False,True,False,False,False,False,17.0,0.0,232.0,False,True,False,True
False,True,False,False,False,True,62.0,0.0,956.0,False,True,False,False
True,True,False,False,False,False,0.0,0.0,0.0,True,False,False,True
False,True,False,False,False,True,84.0,202.0,98.0,False,True,False,False
True,True,False,False,False,False,0.0,0.0,0.0,True,False,False,False
True,True,False,False,False,True,0.0,0.0,0.0,True,False,False,True
False,True,False,False,False,True,0.0,0.0,0.0,True,False,False,False
False,True,False,False,False,True,0.0,898.0,0.0,False,True,False,False
True,False,False,False,False,True,0.0,0.0,0.0,True,False,False,True
False,False,False,False,False,True,0.0,1072.0,0.0,False,True,False,False
False,False,False,False,False,True,0.0,0.0,0.0,True,False,False,True
False,False,False,False,False,True,406.0,0.0,0.0,False,True,False,True
False,False,False,False,False,True,1052.0,0.0,7.0,False,True,False,False
False,False,True,False,True,True,0.0,795.0,575.0,False,True,False,False
True,True,False,False,False,True,0.0,0.0,0.0,True,False,False,True
True,True,False,False,False,False,0.0,0.0,0.0,True,False,False,False
True,True,False,False,False,True,0.0,0.0,0.0,True,False,False,True
True,False,True,True,False,False,0.0,0.0,0.0,True,False,False,True
True,False,True,True,False,False,0.0,0.0,0.0,True,False,False,True
True,False,True,True,False,True,0.0,0.0,0.0,True,False,False,True
False,False,True,False,False,True,0.0,878.0,443.0,False,False,True,True
True,False,True,False,True,False,0.0,0.0,0.0,True,False,False,True
False,True,False,False,False,False,0.0,0.0,705.0,False,True,False,False
False,False,True,False,True,False,2.0,1125.0,122.0,False,False,True,True
True,True,False,False,False,True,0.0,0.0,0.0,True,False,False,False
True,False,False,False,False,True,0.0,0.0,0.0,True,False,False,True
False,False,False,False,False,True,902.0,0.0,0.0,False,True,False,True
True,False,False,False,False,True,0.0,0.0,0.0,True,False,False,True
False,False,False,False,False,True,848.0,182.0,0.0,False,True,False,False
False,True,False,False,False,True,192.0,51.0,739.0,False,True,False,False
False,True,False,False,False,True,147.0,10.0,387.0,False,True,False,False
False,True,False,False,False,True,367.0,0.0,146.0,False,True,False,False
False,True,False,False,False,False,0.0,0.0,1918.0,False,True,False,False
False,True,False,False,False,True,1517.0,27.0,0.0,False,True,False,False
True,True,False,False,False,True,0.0,0.0,0.0,True,False,False,True
True,True,False,False,False,True,0.0,0.0,0.0,True,False,False,True
False,True,False,False,False,True,0.0,0.0,0.0,True,False,False,True
True,True,False,False,False,True,0.0,0.0,0.0,True,False,False,False
False,True,False,False,False,True,122.0,0.0,0.0,False,True,False,False
False,True,False,False,False,True,0.0,0.0,1099.0,False,True,False,False
False,True,False,False,False,True,0.0,0.0,0.0,True,False,False,False
True,True,False,False,False,True,0.0,0.0,0.0,True,False,False,True
False,False,False,False,False,False,2237.0,0.0,0.0,False,True,False,False
False,False,False,False,False,False,1215.0,2.0,0.0,False,True,False,False
False,False,False,False,False,False,1933.0,1.0,0.0,False,True,False,False
True,False,False,False,False,False,0.0,0.0,0.0,True,False,False,True
False,False,False,False,False,False,1230.0,43.0,1023.0,False,True,False,False
False,False,False,False,False,False,915.0,234.0,0.0,False,True,False,False
True,False,False,False,False,False,0.0,0.0,0.0,True,False,False,False
False,False,False,False,False,False,1406.0,11.0,0.0,False,True,False,False
True,False,False,False,False,False,0.0,0.0,0.0,True,False,False,True
True,False,False,False,False,False,0.0,0.0,0.0,True,False,False,True
False,True,False,False,False,False,0.0,0.0,9.0,False,True,False,False
False,False,False,False,False,False,181.0,1634.0,0.0,False,True,False,False
True,True,False,False,False,True,0.0,0.0,0.0,True,False,False,True
False,True,False,False,False,False,4.0,713.0,79.0,False,True,False,False
False,False,False,False,False,False,85.0,1720.0,0.0,False,True,False,False
True,True,False,False,False,False,0.0,0.0,0.0,True,False,False,False
False,False,False,False,False,False,56.0,1438.0,0.0,False,True,False,False
False,True,False,False,False,True,0.0,0.0,0.0,False,True,False,False
